City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
97,Iqaluit,CA,2021-09-15 16:26:20,63.7506,-68.5145,37.13,75,90,12.66,overcast clouds,0,0
98,Myre,NO,2021-09-15 16:29:35,69.1036,15.9492,49.91,65,94,6.24,overcast clouds,0,0
99,Hobart,AU,2021-09-15 16:29:35,-42.8794,147.3294,40.26,93,95,9.22,overcast clouds,0,0
100,Port Alfred,ZA,2021-09-15 16:29:35,-33.5906,26.891,60.76,62,94,19.19,overcast clouds,0,0
101,Cidreira,BR,2021-09-15 16:29:36,-30.1811,-50.2056,61.86,48,0,11.12,clear sky,0,0
102,Kodiak,US,2021-09-15 16:29:36,57.79,-152.4072,47.71,76,90,4.61,light rain,0,0
103,Arraial Do Cabo,BR,2021-09-15 16:29:37,-22.9661,-42.0278,84.16,65,0,6.91,clear sky,0,0
104,Klaksvik,FO,2021-09-15 16:29:37,62.2266,-6.589,54.52,81,100,3.06,overcast clouds,0,0
105,Oranjemund,NA,2021-09-15 16:29:38,-28.55,16.4333,56.01,69,0,22.79,clear sky,0,0
106,Nemuro,JP,2021-09-15 16:29:38,43.3236,145.575,52.43,78,0,7.18,clear sky,0,0
107,Huarmey,PE,2021-09-15 16:29:38,-10.0681,-78.1522,67.57,71,69,11.97,broken clouds,0,0
108,Tuktoyaktuk,CA,2021-09-15 16:29:39,69.4541,-133.0374,37.4,100,75,6.91,broken clouds,0,0
109,Crixas,BR,2021-09-15 16:29:39,-14.5489,-49.9692,103.23,11,3,8.05,clear sky,0,0
110,Morondava,MG,2021-09-15 16:29:40,-20.2833,44.2833,76.53,78,3,8.43,clear sky,0,0
111,Pozo Colorado,PY,2021-09-15 16:29:40,-23.4923,-58.7972,63.86,57,100,8.37,overcast clouds,0,0
112,Coihaique,CL,2021-09-15 16:29:40,-45.5752,-72.0662,56.01,58,75,6.91,broken clouds,0,0
113,Loukhi,RU,2021-09-15 16:29:41,66.0764,33.0381,41.07,81,100,4.34,overcast clouds,0,0
114,Huancavelica,PE,2021-09-15 16:29:41,-12.7667,-74.9833,48.63,58,80,8.97,broken clouds,0,0
115,Albany,US,2021-09-15 16:29:20,42.6001,-73.9662,83.03,76,66,1.99,broken clouds,0,0
116,Mantua,IT,2021-09-15 16:27:39,45.1667,10.7833,84.9,58,98,1.99,overcast clouds,0,0
117,Bethel,US,2021-09-15 16:29:42,41.3712,-73.414,83.46,77,20,8.05,few clouds,0,0
118,Thompson,CA,2021-09-15 16:29:42,55.7435,-97.8558,53.76,76,75,3.44,broken clouds,0,0
119,Leszno,PL,2021-09-15 16:29:42,51.8403,16.5749,74.62,51,97,5.5,overcast clouds,0,0
120,Axim,GH,2021-09-15 16:29:43,4.8699,-2.2405,76.75,87,100,9.15,light rain,0,0
121,Valparaiso,CL,2021-09-15 16:27:49,-33.0393,-71.6273,59.23,72,0,6.91,clear sky,0,0
122,Araouane,ML,2021-09-15 16:29:43,18.9048,-3.5265,107.49,12,41,12.91,scattered clouds,0,0
123,Kruisfontein,ZA,2021-09-15 16:29:44,-34.0033,24.7314,55.89,66,100,13.0,overcast clouds,0,0
124,Nikolskoye,RU,2021-09-15 16:25:15,59.7035,30.7861,48.09,92,69,5.14,broken clouds,0,0
125,Lithakia,GR,2021-09-15 16:29:44,37.7167,20.8333,81.68,42,20,6.91,few clouds,0,0
126,Saldanha,ZA,2021-09-15 16:26:56,-33.0117,17.9442,56.46,71,0,15.28,clear sky,0,0
127,New London,US,2021-09-15 16:29:45,41.4834,-72.0662,85.32,75,40,5.99,scattered clouds,0,0
128,Gogrial,SS,2021-09-15 16:29:45,8.5332,28.1004,82.02,68,88,3.18,overcast clouds,0,0
129,Bonthe,SL,2021-09-15 16:29:45,7.5264,-12.505,76.33,89,100,3.09,light rain,0,0
130,Livingstonia,MW,2021-09-15 16:29:46,-10.606,34.1063,67.28,61,3,3.58,clear sky,0,0
131,Plettenberg Bay,ZA,2021-09-15 16:29:46,-34.0527,23.3716,56.57,66,48,8.03,scattered clouds,0,0
132,Mackay,AU,2021-09-15 16:29:47,-21.15,149.2,57.04,82,6,4.61,clear sky,0,0
133,Merauke,ID,2021-09-15 16:29:47,-8.4667,140.3333,75.6,85,9,13.47,clear sky,0,0
134,Semirom,IR,2021-09-15 16:29:47,31.4167,51.5667,66.0,6,0,6.78,clear sky,0,0
135,Acapulco,MX,2021-09-15 16:28:27,16.8634,-99.8901,82.22,78,75,5.75,broken clouds,0,0
136,Airai,TL,2021-09-15 16:29:48,-8.9266,125.4092,59.76,87,37,2.84,scattered clouds,0,0
137,Xiaoshan,CN,2021-09-15 16:29:48,30.1675,120.2588,73.26,94,75,8.95,light rain,0,0
138,Mecca,SA,2021-09-15 16:26:20,21.4267,39.8261,89.26,48,100,7.94,overcast clouds,0,0
139,Caconda,AO,2021-09-15 16:29:49,-13.7333,15.0667,86.23,15,24,8.72,few clouds,0,0
140,Tevriz,RU,2021-09-15 16:29:49,57.509,72.4042,54.54,74,100,4.74,overcast clouds,0,0
141,Pevek,RU,2021-09-15 16:29:50,69.7008,170.3133,30.38,84,99,12.03,overcast clouds,0,0
142,Ambilobe,MG,2021-09-15 16:29:50,-13.2,49.05,76.87,62,72,6.33,broken clouds,0,0
143,Atuona,PF,2021-09-15 16:29:50,-9.8,-139.0333,77.76,74,59,25.93,broken clouds,0,0
144,San Carlos De Bariloche,AR,2021-09-15 16:29:51,-41.1456,-71.3082,47.95,57,40,24.16,scattered clouds,0,0
145,Santa Fe,AR,2021-09-15 16:25:56,-31.6333,-60.7,72.0,21,0,3.0,clear sky,0,0
146,Mnogovershinnyy,RU,2021-09-15 16:29:51,53.9353,139.9242,48.18,78,4,6.22,clear sky,0,0
147,Baykit,RU,2021-09-15 16:29:52,61.67,96.37,35.94,96,100,3.09,overcast clouds,0,0
148,Flin Flon,CA,2021-09-15 16:29:52,54.7682,-101.865,57.04,62,75,3.44,broken clouds,0,0
149,Port Elizabeth,ZA,2021-09-15 16:29:52,-33.918,25.5701,58.1,72,20,16.11,few clouds,0,0
150,La Oroya,PE,2021-09-15 16:29:53,-11.5189,-75.8994,55.78,46,30,12.3,scattered clouds,0,0
151,Nikko,JP,2021-09-15 16:29:53,36.75,139.6167,60.13,94,78,1.3,broken clouds,0,0
152,Butaritari,KI,2021-09-15 16:29:54,3.0707,172.7902,81.7,77,64,11.7,light rain,0,0
153,Kenai,US,2021-09-15 16:29:54,60.5544,-151.2583,47.08,83,90,9.22,overcast clouds,0,0
154,Faanui,PF,2021-09-15 16:29:54,-16.4833,-151.75,78.87,68,4,18.19,clear sky,0,0
155,Puerto Ayora,EC,2021-09-15 16:29:55,-0.7393,-90.3518,75.16,89,90,5.01,overcast clouds,0,0
156,Egvekinot,RU,2021-09-15 16:29:55,66.3167,-179.1667,29.08,89,56,2.44,broken clouds,0,0
157,Korla,CN,2021-09-15 16:29:55,41.7597,86.1469,75.76,29,0,3.38,clear sky,0,0
158,Clyde River,CA,2021-09-15 16:28:21,70.4692,-68.5914,32.23,64,20,2.3,few clouds,0,0
159,Berlevag,NO,2021-09-15 16:24:57,70.8578,29.0864,42.75,70,20,3.44,few clouds,0,0
160,Machinga,MW,2021-09-15 16:29:56,-15.1685,35.3,80.04,28,55,4.0,broken clouds,0,0
161,Codrington,AU,2021-09-15 16:29:57,-38.2667,141.9667,48.0,74,100,7.78,overcast clouds,0,0
162,Meulaboh,ID,2021-09-15 16:29:57,4.1363,96.1285,78.08,80,100,2.62,overcast clouds,0,0
163,Garden City,US,2021-09-15 16:29:33,42.3256,-83.331,73.94,72,90,1.01,overcast clouds,0,0
164,Saint-Philippe,RE,2021-09-15 16:29:58,-21.3585,55.7679,71.15,84,52,12.5,broken clouds,0,0
165,Luderitz,NA,2021-09-15 16:29:58,-26.6481,15.1594,59.29,56,0,30.89,clear sky,0,0
166,Carnarvon,AU,2021-09-15 16:29:58,-24.8667,113.6333,66.27,72,14,8.05,few clouds,0,0
167,Saint-Paul,RE,2021-09-15 16:29:59,-21.0096,55.2707,71.69,78,39,0.6,scattered clouds,0,0
168,Fort Frances,CA,2021-09-15 16:27:24,48.5999,-93.4003,65.16,63,1,1.01,clear sky,0,0
169,Kalmunai,LK,2021-09-15 16:29:59,7.4167,81.8167,84.94,70,96,7.25,overcast clouds,0,0
170,Kaeo,NZ,2021-09-15 16:30:00,-35.1,173.7833,60.33,97,100,10.33,overcast clouds,0,0
171,Nouadhibou,MR,2021-09-15 16:27:36,20.931,-17.0347,84.18,61,7,13.8,clear sky,0,0
172,Port Blair,IN,2021-09-15 16:30:00,11.6667,92.75,76.62,90,100,7.14,overcast clouds,0,0
173,Sobolevo,RU,2021-09-15 16:30:01,54.4299,31.8996,46.49,68,5,7.31,clear sky,0,0
174,Saskylakh,RU,2021-09-15 16:30:01,71.9167,114.0833,42.26,96,100,17.18,moderate rain,0,0
175,Qasigiannguit,GL,2021-09-15 16:30:02,68.8193,-51.1922,32.25,76,74,0.72,broken clouds,0,0
176,Vardo,NO,2021-09-15 16:30:02,70.3705,31.1107,43.0,87,75,5.75,broken clouds,0,0
177,Touros,BR,2021-09-15 16:30:04,-5.1989,-35.4608,83.3,63,11,17.87,few clouds,0,0
178,Sao Jose Da Coroa Grande,BR,2021-09-15 16:30:04,-8.8978,-35.1478,80.49,71,80,10.0,broken clouds,0,0
179,Prince Albert,CA,2021-09-15 16:30:05,53.2001,-105.7677,60.75,51,75,21.85,broken clouds,0,0
